motor_x,motor_y,motor_z,time
0.038866,0.001630,0.017408,2023-12-15T13:58:53.203258Z
0.125016,0.000683,-0.011622,2023-12-15T13:58:53.203458Z
0.048649,0.001314,-0.006574,2023-12-15T13:58:53.203658Z
-0.119843,0.001630,0.018986,2023-12-15T13:58:53.203858Z
-0.087976,0.000367,0.020564,2023-12-15T13:58:53.204058Z
0.092197,0.001630,0.007310,2023-12-15T13:58:53.204258Z
0.015830,0.001630,-0.016986,2023-12-15T13:58:53.204458Z
-0.008783,0.000367,-0.000895,2023-12-15T13:58:53.204658Z
-0.129623,0.001630,0.018670,2023-12-15T13:58:53.204858Z
0.032240,0.000367,0.016146,2023-12-15T13:58:53.205058Z
0.089041,0.001314,-0.000895,2023-12-15T13:58:53.205258Z
-0.046013,0.001630,-0.017932,2023-12-15T13:58:53.205458Z
-0.064313,0.000367,0.003207,2023-12-15T13:58:53.205658Z
-0.058949,0.001630,0.014252,2023-12-15T13:58:53.205858Z
0.127225,0.000367,0.009203,2023-12-15T13:58:53.206058Z
0.025297,0.000683,-0.001841,2023-12-15T13:58:53.206258Z
-0.066521,0.000683,-0.006889,2023-12-15T13:58:53.206458Z
-0.059580,0.000052,0.003839,2023-12-15T13:58:53.206658Z
-0.006889,0.001630,0.006994,2023-12-15T13:58:53.206858Z
0.134799,0.000367,0.005732,2023-12-15T13:58:53.207058Z
-0.013831,0.000998,0.000367,2023-12-15T13:58:53.207258Z
-0.093655,0.000998,0.001630,2023-12-15T13:58:53.207458Z
-0.021403,0.000683,0.005416,2023-12-15T13:58:53.207658Z
0.038866,0.001945,-0.001210,2023-12-15T13:58:53.207858Z
0.114602,0.000367,0.001630,2023-12-15T13:58:53.208058Z
-0.048853,0.000683,0.006363,2023-12-15T13:58:53.208258Z
-0.099019,0.001630,0.011097,2023-12-15T13:58:53.208458Z
0.033186,0.000683,0.003523,2023-12-15T13:58:53.208658Z
0.044547,0.001630,-0.006574,2023-12-15T13:58:53.208858Z
0.066636,0.000998,-0.000895,2023-12-15T13:58:53.209058Z
-0.073147,0.000367,0.011728,2023-12-15T13:58:53.209258Z
-0.010360,0.001314,0.015515,2023-12-15T13:58:53.209458Z
0.094406,0.000998,-0.001210,2023-12-15T13:58:53.209658Z
-0.021087,0.000683,-0.007205,2023-12-15T13:58:53.209858Z
-0.034023,0.001314,0.002261,2023-12-15T13:58:53.210058Z
-0.052323,0.000367,0.016146,2023-12-15T13:58:53.210258Z
0.064112,0.001630,0.013306,2023-12-15T13:58:53.210458Z
0.098193,0.001314,-0.003103,2023-12-15T13:58:53.210658Z
-0.050746,0.000367,-0.004681,2023-12-15T13:58:53.210858Z
-0.133725,0.000998,0.007625,2023-12-15T13:58:53.211058Z
-0.012884,0.000367,0.018039,2023-12-15T13:58:53.211258Z
0.118074,0.000367,0.008256,2023-12-15T13:58:53.211458Z
0.111447,0.001630,-0.006574,2023-12-15T13:58:53.211658Z
-0.050430,0.000367,-0.003103,2023-12-15T13:58:53.211858Z
-0.223330,0.001945,0.015199,2023-12-15T13:58:53.212058Z
0.033502,0.000998,0.013306,2023-12-15T13:58:53.212258Z
0.137323,0.000998,0.002576,2023-12-15T13:58:53.212458Z
0.063796,0.000998,-0.006574,2023-12-15T13:58:53.212658Z
-0.049484,0.000683,0.003207,2023-12-15T13:58:53.212858Z
-0.205977,0.000998,0.019301,2023-12-15T13:58:53.213058Z
0.045493,0.001314,0.008256,2023-12-15T13:58:53.213258Z
0.153733,0.000998,-0.009098,2023-12-15T13:58:53.213458Z
-0.032446,0.000998,-0.004365,2023-12-15T13:58:53.213658Z
-0.049168,0.001630,0.010781,2023-12-15T13:58:53.213858Z
-0.086714,0.001314,0.017723,2023-12-15T13:58:53.214058Z
0.053382,0.000998,0.003523,2023-12-15T13:58:53.214258Z
0.108922,0.000998,-0.016039,2023-12-15T13:58:53.214458Z
-0.082297,0.000683,0.000998,2023-12-15T13:58:53.214658Z
-0.067783,0.000998,0.015199,2023-12-15T13:58:53.214858Z
0.045178,0.000367,0.018039,2023-12-15T13:58:53.215058Z
0.071054,0.001630,0.000683,2023-12-15T13:58:53.215258Z
-0.009098,0.000683,-0.012569,2023-12-15T13:58:53.215458Z
-0.078195,0.000998,0.007941,2023-12-15T13:58:53.215658Z
-0.040334,0.000998,0.014883,2023-12-15T13:58:53.215858Z
0.114602,0.000367,0.017092,2023-12-15T13:58:53.216058Z
0.042338,0.001314,0.004154,2023-12-15T13:58:53.216258Z
-0.061157,0.000367,-0.004681,2023-12-15T13:58:53.216458Z
-0.084190,0.001314,0.009834,2023-12-15T13:58:53.216658Z
0.010150,0.000998,0.008572,2023-12-15T13:58:53.216858Z
0.133221,0.000367,0.011728,2023-12-15T13:58:53.217058Z
-0.013200,0.001314,0.006679,2023-12-15T13:58:53.217258Z
